par;ind;fam;cient;autor;verna;cap;ht;hc;qf;qc;estrato;obs
10;22;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;148;17;10;2;3;dossel;
10;23;Sapotaceae;Pouteria beaurepairei;(Glaz. & Raunk.) Baehni;Batat�;22;7;4;2;1;inter;
10;24;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;17;4;2;2;2;sub;
10;25;;Morta;;;142;;;;;;Morta
10;26;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;42;9;6;2;2;inter;
10;27;Myrtaceae;Myrcia pubipetala;Miq.;Goiab�o;32;9;6;2;2;inter;
10;28;;Morta;;;47;;;;;;Morta
10;29;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;27;7;1;3;3;sub;
10;30;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;22;4;1,5;2;3;sub;
10;31;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;50;13;7;2;1;inter;bif
10;32;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;53;14;6;2;2;dossel;bif
10;33;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;113;18;8;1;1;dossel;
10;34;Myrtaceae;Myrcia hebepetala;DC.;Aperta-gu�la;19;7;2;2;2;inter;
10;35;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;22;8;3;2;2;inter;
11;1;Myrtaceae;Psidium cattleyanum;Sabine;Ara��;44;13;5;2;1;dossel;bif
11;1;Myrtaceae;Psidium cattleyanum;Sabine;Ara��;39,5;13;5;2;1;dossel;bif
11;2;Annonaceae;Guatteria australis;A.St.-Hil.;Pinda�va-preta;17;7;2;1;1;inter;
11;3;;Morta;;;25;7;2;3;3;sub;Morta bif
11;3;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;31;7;2;3;3;sub;bif
11;4;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;52;10;2;2;2;dossel;
11;5;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;33;7;2;3;2;sub;
11;6;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;44;12;5;2;1;dossel;
11;7;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;53;9;4;2;2;inter;
11;8;Arecaceae;Geonoma schottiana;Mart.;Guaricana;19;2;1,5;2;2;sub;
11;9;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;41;12;2;2;2;dossel;
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;26;7;2;3;1;inter;1
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;26;7;2;3;1;inter;2
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;22;7;2;3;1;inter;3
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;21;7;2;3;1;inter;4
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;25;7;2;3;1;inter;5
11;10;Fabaceae;Andira fraxinifolia;Benth.;Pau-angelim;29;7;2;3;1;inter;6
11;11;;Morta;;;33;;;;;;Morta tri
11;11;;Morta;;;45;;;;;;Morta tri
11;11;;Morta;;;41;;;;;;Morta tri
11;12;;Morta;;;26;;;;;;Morta bif
11;12;;Morta;;;25;;;;;;Morta bif
11;13;Primulaceae;Myrsine venosa;A.DC.;Capororoca;20;9;5;1;1;inter;
11;14;Lauraceae;Ocotea pulchella;(Nees & Mart.) Mez;Canela-preta;48;14;2;3;1;dossel;
