ua;projeto;npragas;idade;nha;vha;gha;d;h;v;g;dg;hdom;sitio;classe
1;Campo Alto;1;10;750;119,78;14,31;14,7;15,48;0,1597;0,019;15,6;17,73;14;Classe I
63;Campo Alto;3;9;1185;159,21;18,79;13,5;16,35;0,1343;0,016;14,2;18,53;14;Classe I
33;Perdidinha;2;5,5;2593;53,56;10,13;6,9;10,35;0,0207;0,004;7,1;12,5;14;Classe I
46;Perdidinha;4;5;2370;33,84;7,82;6,4;8,59;0,0143;0,003;6,5;9,55;10;Classe III
47;Perdidinha;1;5;2148;47,33;9,11;7,2;10,27;0,022;0,004;7,3;12,07;14;Classe I
134;Lageadinho;1;2,2;13631;;;;5,18;;;;8,04;12;Classe II
132;Lageadinho;3;2,2;23077;;;;3,57;;;;5,74;10;Classe III
147;Perdidinha;4;6,2;2031;61,22;11,75;8,2;10;0,03;0,01;8,6;11,08;12;Classe II
141;Perdidinha;3;5,4;4677;59,7;12,13;5,5;9,49;0,01;0;5,7;10,57;12;Classe II
11;Campo Alto;3;12;400;53,99;7,42;14,4;12,99;0,135;0,019;15,4;16,5;14;Classe I
48;Perdidinha;1;5;2519;53,11;9,98;7;10,47;0,0211;0,004;7,1;12,3;14;Classe I
7;Campo Alto;2;11;850;89,52;10,44;12,1;16,35;0,1053;0,012;12,5;17,5;14;Classe I
118;Lageadinho;4;3,5;3100;166,53;29,09;10,6;10,97;0,0537;0,009;10,9;13,5;14;Classe I
102;Perdidinha;1;6,5;2300;106,51;18,19;9,7;11,24;0,0463;0,008;10;13,5;14;Classe I
65;Campo Alto;1;12;1259;130,8;16,73;12,5;14,93;0,1039;0,013;13;17,53;14;Classe I
3;Campo Alto;0;10;300;25,09;4,13;12,3;10,86;0,0836;0,014;13,2;13,49;12;Classe II
10;Campo Alto;3;12;400;75,78;8,74;16,3;16,44;0,1895;0,022;16,7;18,5;14;Classe I
87;Campina;3;7,5;2222;109,11;17,59;9,6;11,89;0,0491;0,008;10;13,53;12;Classe II
83;Campina;3;7,5;1481;95,86;15,4;11,1;12,3;0,0647;0,01;11,5;12,84;12;Classe II
110;Perdidinha;3;5;4200;238,92;38,96;10,3;11,37;0,0569;0,009;10,9;14,5;14;Classe I
55;Perdidinha;4;5;1815;43,64;8,58;7,6;9,98;0,024;0,005;7,8;11,35;14;Classe I
143;Perdidinha;0;5;2769;57,81;11,9;7,1;9,38;0,02;0;7,4;9,87;12;Classe II
148;Perdidinha;2;6,3;3785;84,79;15,59;6,9;10,39;0,02;0;7,2;11,93;12;Classe II
13;Campo Alto;1;12;550;96,28;13,49;17,5;14,36;0,175;0,025;17,7;14,5;12;Classe II
78;Campina;3;7;2333;43,97;9,87;7,1;8,8;0,0188;0,004;7,3;9,82;10;Classe III
121;Perdidinha;2;6,5;5200;136,13;29,8;8,2;8,87;0,0262;0,006;8,5;9,5;10;Classe III
96;Lageadinho;0;4,5;5800;144,2;34,74;8,3;7,85;0,0249;0,006;8,7;9,5;12;Classe II
16;Perdidinha;0;6,5;1259;30,6;6,61;7,9;8,97;0,0243;0,005;8,2;10,61;10;Classe III
103;Lageadinho;1;4,5;2100;56,28;11,44;8,1;9,38;0,0268;0,005;8,3;11,5;12;Classe II
60;Campo Alto;3;9;1333;140,26;16,73;12;15,99;0,1052;0,013;12,6;18,33;14;Classe I
43;Perdidinha;4;6,5;1963;88,74;13,03;8,9;13,27;0,0452;0,007;9,2;15,43;14;Classe I
88;Campo Alto;3;9;1300;153,24;21,82;14,1;13,92;0,1179;0,017;14,6;15;14;Classe I
29;Campo Alto;3;12;1333;76,49;12,22;10,6;12,53;0,0574;0,009;10,8;12,79;10;Classe III
116;Lageadinho;2;4,5;2800;101,44;19,03;9;10,5;0,0362;0,007;9,3;11;14;Classe I
95;Lageadinho;0;4,5;3000;95,93;18,48;8,5;10,1;0,032;0,006;8,9;11;12;Classe II
146;Perdidinha;4;6,3;5908;74,3;15,72;5,6;9,04;0,01;0;5,8;10,6;10;Classe III
82;Campina;1;7,5;1259;55,84;9,8;9,5;11,17;0,0443;0,008;10;12,15;12;Classe II
130;Lageadinho;2;2;12062;;;;6,2;;;;3,1;10;Classe III
26;Campo Alto;0;12;1259;76,8;11,26;10,4;13,11;0,061;0,009;10,7;16,82;14;Classe I
115;Campina;2;7;1800;117,56;19,47;11,1;11,75;0,0653;0,011;11,7;12;12;Classe II
109;Perdidinha;2;5;4500;195,73;33,12;9,2;11,19;0,0435;0,007;9,7;13,5;14;Classe I
107;Campina;3;7;2800;102,6;17,05;8,6;11,93;0,0366;0,006;8,8;13,5;14;Classe I
68;Campo Alto;1;12;889;96,99;13,34;13,4;14,18;0,1091;0,015;13,8;16,03;14;Classe I
131;Lageadinho;1;2,2;19815;;;;4,04;;;;6,54;12;Classe II
59;Campo Alto;2;9;2370;110,8;16,73;9,2;17,83;0,0467;0,007;9,5;15,07;14;Classe I
123;Campina;1;8,5;3000;234,28;43,62;13,1;10,43;0,0781;0,015;13,6;12;10;Classe III
30;Perdidinha;4;5,5;1778;35,04;7,03;6,9;9,79;0,0197;0,004;7,1;10,63;12;Classe II
100;Campina;2;7;2600;105,88;17,32;8,8;11,83;0,0407;0,007;9,2;13;12;Classe II
58;Campo Alto;2;9;1370;143,47;17,81;12,5;16,05;0,1047;0,013;12,9;17,37;14;Classe I
25;Campo Alto;0;12;1444;86,01;13,89;10,5;11,91;0,0595;0,01;11,1;13,62;10;Classe III
73;Campina;1;7;2963;105,28;17,43;8,4;11,88;0,0355;0,006;8,7;12,6;12;Classe II
139;Lageadinho;0;4,1;7292;74,43;16,13;4,9;8,39;0,01;0;5,3;10,44;14;Classe I
77;Campina;1;7;2704;44,62;9,85;6,7;9,03;0,0165;0,004;6,8;10,17;10;Classe III
28;Campo Alto;1;12;1630;86,61;12,99;9,8;12,89;0,0531;0,008;10,1;14,83;12;Classe II
8;Campo Alto;0;11;600;60,83;7,61;12,3;15,78;0,1014;0,013;12,7;17,5;14;Classe I
69;Campo Alto;4;12;815;94,96;11,11;12,7;16,37;0,1165;0,014;13,2;12,88;10;Classe III
128;Lageadinho;4;1;11477;;;;2,24;;;;4,55;12;Classe II
42;Perdidinha;0;6,5;3074;109,9;17,32;8,2;12,41;0,0358;0,006;8,5;14,15;14;Classe I
106;Lageadinho;2;3,5;2700;56,76;15,52;8,3;6,91;0,021;0,006;8,6;7,5;10;Classe III
94;Campo Alto;0;9;2000;224,83;29,3;12,9;14,55;0,1124;0,015;13,7;16,5;14;Classe I
113;Perdidinha;4;6;2700;119,64;17,67;8,8;13,19;0,0443;0,007;9,1;15,5;14;Classe I
56;Perdidinha;3;5;2630;40,83;8,77;6,4;9,28;0,0155;0,003;6,5;11,2;12;Classe II
144;Perdidinha;0;5;4431;71,86;14,04;6;9,82;0,02;0;6,4;10,62;12;Classe II
